==19444== NVPROF is profiling process 19444, command: ../optNonNP/lss --image ../inputs/fractal/fractal.intensities.pgm --labels ../inputs/fractal/fractal.label.pgm --params ../inputs/fractal/fractal.params
==19444== Profiling application: ../optNonNP/lss --image ../inputs/fractal/fractal.intensities.pgm --labels ../inputs/fractal/fractal.label.pgm --params ../inputs/fractal/fractal.params
==19444== Profiling result:
   Start  Duration  Name
346.70ms  6.6720us  cudaMemcpyAsync
346.71ms     417ns  cudaConfigureCall
346.71ms     392ns  cudaSetupArgument
346.71ms     234ns  cudaSetupArgument
346.71ms     233ns  cudaSetupArgument
346.71ms     225ns  cudaSetupArgument
346.71ms     225ns  cudaSetupArgument
346.71ms     229ns  cudaSetupArgument
346.71ms     224ns  cudaSetupArgument
346.71ms  11.408us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [180])
346.73ms  989.44us  cudaMemcpyAsync
347.72ms  5.7600us  cudaMemcpyAsync
347.72ms     366ns  cudaConfigureCall
347.72ms     380ns  cudaSetupArgument
347.72ms     232ns  cudaSetupArgument
347.72ms     236ns  cudaSetupArgument
347.72ms     226ns  cudaSetupArgument
347.72ms     251ns  cudaSetupArgument
347.72ms     229ns  cudaSetupArgument
347.73ms     225ns  cudaSetupArgument
347.73ms  10.559us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [191])
347.74ms  957.65us  cudaMemcpyAsync
348.70ms  5.7970us  cudaMemcpyAsync
348.70ms     364ns  cudaConfigureCall
348.70ms     362ns  cudaSetupArgument
348.70ms     234ns  cudaSetupArgument
348.70ms     231ns  cudaSetupArgument
348.70ms     225ns  cudaSetupArgument
348.70ms     226ns  cudaSetupArgument
348.70ms     225ns  cudaSetupArgument
348.70ms     226ns  cudaSetupArgument
348.71ms  10.914us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [202])
348.72ms  949.24us  cudaMemcpyAsync
349.67ms  5.8260us  cudaMemcpyAsync
349.67ms     355ns  cudaConfigureCall
349.67ms     387ns  cudaSetupArgument
349.67ms     233ns  cudaSetupArgument
349.67ms     232ns  cudaSetupArgument
349.68ms     225ns  cudaSetupArgument
349.68ms     225ns  cudaSetupArgument
349.68ms     226ns  cudaSetupArgument
349.68ms     228ns  cudaSetupArgument
349.68ms  10.509us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [213])
349.69ms  1.4915ms  cudaMemcpyAsync
351.18ms  6.5040us  cudaMemcpyAsync
351.19ms     394ns  cudaConfigureCall
351.19ms     387ns  cudaSetupArgument
351.19ms     232ns  cudaSetupArgument
351.19ms     232ns  cudaSetupArgument
351.19ms     221ns  cudaSetupArgument
351.19ms     226ns  cudaSetupArgument
351.19ms     224ns  cudaSetupArgument
351.19ms     225ns  cudaSetupArgument
351.19ms  11.143us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [224])
351.20ms  1.3243ms  cudaMemcpyAsync
352.53ms  5.8260us  cudaMemcpyAsync
352.53ms     355ns  cudaConfigureCall
352.53ms     375ns  cudaSetupArgument
352.54ms     236ns  cudaSetupArgument
352.54ms     235ns  cudaSetupArgument
352.54ms     222ns  cudaSetupArgument
352.54ms     227ns  cudaSetupArgument
352.54ms     224ns  cudaSetupArgument
352.54ms     225ns  cudaSetupArgument
352.54ms  10.572us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [235])
352.55ms  1.1015ms  cudaMemcpyAsync
353.65ms  6.8130us  cudaMemcpyAsync
353.66ms     404ns  cudaConfigureCall
353.66ms     391ns  cudaSetupArgument
353.66ms     236ns  cudaSetupArgument
353.66ms     234ns  cudaSetupArgument
353.66ms     222ns  cudaSetupArgument
353.66ms     225ns  cudaSetupArgument
353.66ms     224ns  cudaSetupArgument
353.66ms     225ns  cudaSetupArgument
353.66ms  11.323us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [246])
353.68ms  1.3062ms  cudaMemcpyAsync
354.98ms  5.7010us  cudaMemcpyAsync
354.99ms     338ns  cudaConfigureCall
354.99ms     329ns  cudaSetupArgument
354.99ms     180ns  cudaSetupArgument
354.99ms     182ns  cudaSetupArgument
354.99ms     175ns  cudaSetupArgument
354.99ms     175ns  cudaSetupArgument
354.99ms     175ns  cudaSetupArgument
354.99ms     182ns  cudaSetupArgument
354.99ms  9.4080us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [257])
355.00ms  1.4997ms  cudaMemcpyAsync
356.50ms  6.0680us  cudaMemcpyAsync
356.51ms     389ns  cudaConfigureCall
356.51ms     360ns  cudaSetupArgument
356.51ms     223ns  cudaSetupArgument
356.51ms     224ns  cudaSetupArgument
356.51ms     214ns  cudaSetupArgument
356.51ms     213ns  cudaSetupArgument
356.51ms     216ns  cudaSetupArgument
356.51ms     213ns  cudaSetupArgument
356.51ms  10.662us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [268])
356.52ms  1.5891ms  cudaMemcpyAsync
358.11ms  8.6250us  cudaMemcpyAsync
358.12ms     458ns  cudaConfigureCall
358.12ms     457ns  cudaSetupArgument
358.12ms     224ns  cudaSetupArgument
358.12ms     224ns  cudaSetupArgument
358.12ms     229ns  cudaSetupArgument
358.12ms     215ns  cudaSetupArgument
358.13ms     217ns  cudaSetupArgument
358.13ms     215ns  cudaSetupArgument
358.13ms  13.715us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [279])
358.14ms  1.2270ms  cudaMemcpyAsync
359.37ms  5.6980us  cudaMemcpyAsync
359.37ms     388ns  cudaConfigureCall
359.37ms     359ns  cudaSetupArgument
359.38ms     224ns  cudaSetupArgument
359.38ms     223ns  cudaSetupArgument
359.38ms     217ns  cudaSetupArgument
359.38ms     219ns  cudaSetupArgument
359.38ms     216ns  cudaSetupArgument
359.38ms     215ns  cudaSetupArgument
359.38ms  10.781us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [290])
359.39ms  1.4525ms  cudaMemcpyAsync
360.84ms  5.6390us  cudaMemcpyAsync
360.85ms     345ns  cudaConfigureCall
360.85ms     370ns  cudaSetupArgument
360.85ms     230ns  cudaSetupArgument
360.85ms     225ns  cudaSetupArgument
360.85ms     215ns  cudaSetupArgument
360.85ms     221ns  cudaSetupArgument
360.85ms     219ns  cudaSetupArgument
360.85ms     221ns  cudaSetupArgument
360.85ms  10.358us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [301])
360.86ms  1.3039ms  cudaMemcpyAsync
362.17ms  6.2370us  cudaMemcpyAsync
362.17ms     380ns  cudaConfigureCall
362.18ms     374ns  cudaSetupArgument
362.18ms     226ns  cudaSetupArgument
362.18ms     227ns  cudaSetupArgument
362.18ms     217ns  cudaSetupArgument
362.18ms     218ns  cudaSetupArgument
362.18ms     219ns  cudaSetupArgument
362.18ms     220ns  cudaSetupArgument
362.18ms  10.857us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [312])
362.19ms  1.2971ms  cudaMemcpyAsync
363.49ms  5.5300us  cudaMemcpyAsync
363.49ms     351ns  cudaConfigureCall
363.49ms     359ns  cudaSetupArgument
363.49ms     226ns  cudaSetupArgument
363.50ms     228ns  cudaSetupArgument
363.50ms     217ns  cudaSetupArgument
363.50ms     219ns  cudaSetupArgument
363.50ms     218ns  cudaSetupArgument
363.50ms     217ns  cudaSetupArgument
363.50ms  10.256us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [323])
363.51ms  1.1661ms  cudaMemcpyAsync
364.67ms  5.6600us  cudaMemcpyAsync
364.68ms     370ns  cudaConfigureCall
364.68ms     358ns  cudaSetupArgument
364.68ms     225ns  cudaSetupArgument
364.68ms     230ns  cudaSetupArgument
364.68ms     218ns  cudaSetupArgument
364.68ms     228ns  cudaSetupArgument
364.68ms     216ns  cudaSetupArgument
364.68ms     218ns  cudaSetupArgument
364.69ms  10.547us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [334])
364.70ms  1.3580ms  cudaMemcpyAsync
366.05ms  6.4690us  cudaMemcpyAsync
366.06ms     403ns  cudaConfigureCall
366.06ms     377ns  cudaSetupArgument
366.06ms     221ns  cudaSetupArgument
366.06ms     213ns  cudaSetupArgument
366.06ms     214ns  cudaSetupArgument
366.06ms     212ns  cudaSetupArgument
366.06ms     211ns  cudaSetupArgument
366.07ms     208ns  cudaSetupArgument
366.07ms  10.835us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [345])
366.08ms  1.3371ms  cudaMemcpyAsync
367.41ms  5.5370us  cudaMemcpyAsync
367.42ms     353ns  cudaConfigureCall
367.42ms     342ns  cudaSetupArgument
367.42ms     216ns  cudaSetupArgument
367.42ms     217ns  cudaSetupArgument
367.42ms     208ns  cudaSetupArgument
367.42ms     207ns  cudaSetupArgument
367.42ms     213ns  cudaSetupArgument
367.42ms     208ns  cudaSetupArgument
367.42ms  9.9030us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [356])
367.43ms  1.2449ms  cudaMemcpyAsync
368.68ms  5.3400us  cudaMemcpyAsync
368.69ms     341ns  cudaConfigureCall
368.69ms     340ns  cudaSetupArgument
368.69ms     216ns  cudaSetupArgument
368.69ms     214ns  cudaSetupArgument
368.69ms     205ns  cudaSetupArgument
368.69ms     211ns  cudaSetupArgument
368.69ms     205ns  cudaSetupArgument
368.69ms     206ns  cudaSetupArgument
368.69ms  9.7750us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [367])
368.70ms  1.8504ms  cudaMemcpyAsync
370.55ms  8.1080us  cudaMemcpyAsync
370.56ms     441ns  cudaConfigureCall
370.56ms     397ns  cudaSetupArgument
370.56ms     215ns  cudaSetupArgument
370.56ms     217ns  cudaSetupArgument
370.56ms     205ns  cudaSetupArgument
370.56ms     204ns  cudaSetupArgument
370.56ms     205ns  cudaSetupArgument
370.56ms     205ns  cudaSetupArgument
370.56ms  12.782us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [378])
370.58ms  1.5928ms  cudaMemcpyAsync
372.17ms  4.9570us  cudaMemcpyAsync
372.18ms     313ns  cudaConfigureCall
372.18ms     319ns  cudaSetupArgument
372.18ms     187ns  cudaSetupArgument
372.18ms     188ns  cudaSetupArgument
372.18ms     181ns  cudaSetupArgument
372.18ms     183ns  cudaSetupArgument
372.18ms     183ns  cudaSetupArgument
372.18ms     174ns  cudaSetupArgument
372.18ms  8.9720us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [389])
372.19ms  1.2627ms  cudaMemcpyAsync
373.45ms  4.6630us  cudaMemcpyAsync
373.46ms     314ns  cudaConfigureCall
373.46ms     305ns  cudaSetupArgument
373.46ms     181ns  cudaSetupArgument
373.46ms     182ns  cudaSetupArgument
373.46ms     176ns  cudaSetupArgument
373.46ms     172ns  cudaSetupArgument
373.46ms     174ns  cudaSetupArgument
373.46ms     181ns  cudaSetupArgument
373.46ms  8.3240us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [400])
373.47ms  1.6258ms  cudaMemcpyAsync
375.09ms  6.8550us  cudaMemcpyAsync
375.10ms     359ns  cudaConfigureCall
375.10ms     372ns  cudaSetupArgument
375.10ms     184ns  cudaSetupArgument
375.10ms     187ns  cudaSetupArgument
375.10ms     192ns  cudaSetupArgument
375.10ms     181ns  cudaSetupArgument
375.10ms     177ns  cudaSetupArgument
375.10ms     176ns  cudaSetupArgument
375.11ms  10.604us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [411])
375.12ms  1.3110ms  cudaMemcpyAsync
376.43ms  4.7180us  cudaMemcpyAsync
376.43ms     319ns  cudaConfigureCall
376.43ms     295ns  cudaSetupArgument
376.43ms     189ns  cudaSetupArgument
376.43ms     188ns  cudaSetupArgument
376.43ms     183ns  cudaSetupArgument
376.44ms     180ns  cudaSetupArgument
376.44ms     181ns  cudaSetupArgument
376.44ms     197ns  cudaSetupArgument
376.44ms  8.9320us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [422])
376.45ms  1.1621ms  cudaMemcpyAsync
377.61ms  4.6210us  cudaMemcpyAsync
377.61ms     299ns  cudaConfigureCall
377.61ms     306ns  cudaSetupArgument
377.61ms     189ns  cudaSetupArgument
377.61ms     188ns  cudaSetupArgument
377.61ms     182ns  cudaSetupArgument
377.62ms     176ns  cudaSetupArgument
377.62ms     181ns  cudaSetupArgument
377.62ms     174ns  cudaSetupArgument
377.62ms  8.5120us  cudaLaunch (lssStep2(int*, unsigned int*, unsigned int*, int, int, int, int) [433])
377.63ms  1.3602ms  cudaMemcpyAsync
378.99ms  5.2240us  cudaMemcpyAsync
