==10723== NVPROF is profiling process 10723, command: ./acclNP
==10723== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==10723== Profiling application: ./acclNP
==10723== Profiling result:
==10723== Metric result:
Invocations                               Metric Name                        Metric Description         Min         Max         Avg
Device "GeForce GTX TITAN (0)"
	Kernel: findSpansKernel(int*, int*, int const *, int, int)
          2                               cf_executed        Executed Control-Flow Instructions     5352824     7114821     6233822
          2                               ldst_issued            Issued Load/Store Instructions   134833469   177590292   156211880
          2                             ldst_executed          Executed Load/Store Instructions     8676796    11452624    10064710
          2                             flop_count_sp  Floating Point Operations(Single Precisi           0           0           0
          2                         flop_count_sp_add  Floating Point Operations(Single Precisi           0           0           0
          2                         flop_count_sp_mul  Floating Point Operation(Single Precisio           0           0           0
          2                         flop_count_sp_fma  Floating Point Operations(Single Precisi           0           0           0
          2                             flop_count_dp  Floating Point Operations(Double Precisi           0           0           0
          2                         flop_count_dp_add  Floating Point Operations(Double Precisi           0           0           0
          2                         flop_count_dp_mul  Floating Point Operations(Double Precisi           0           0           0
          2                         flop_count_dp_fma  Floating Point Operations(Double Preciso           0           0           0
          2                     flop_count_sp_special  Floating Point Operations(Single Precisi     2033664     2678784     2356224
          2                          stall_inst_fetch  Issue Stall Reasons (Instructions Fetch)       2.47%       2.47%       2.47%
          2                     stall_exec_dependency  Issue Stall Reasons (Execution Dependenc      16.72%      16.73%      16.73%
          2                   stall_memory_dependency        Issue Stall Reasons (Data Request)      17.39%      17.40%      17.39%
          2                             stall_texture             Issue Stall Reasons (Texture)       0.00%       0.00%       0.00%
          2                                stall_sync     Issue Stall Reasons (Synchronization)       0.03%       0.03%       0.03%
          2                               stall_other               Issue Stall Reasons (Other)       0.05%       0.05%       0.05%
          2                     l1_shared_utilization              L1/Shared Memory Utilization     Low (1)     Low (1)     Low (1)
          2                            l2_utilization                      L2 Cache Utilization     Low (1)     Low (1)     Low (1)
          2                           tex_utilization                 Texture Cache Utilization     Low (1)     Low (1)     Low (1)
          2                          dram_utilization                 Device Memory Utilization     Low (1)     Low (1)     Low (1)
          2                        sysmem_utilization                 System Memory Utilization     Low (1)     Low (1)     Low (1)
          2                       ldst_fu_utilization      Load/Store Function Unit Utilization     Low (3)     Low (3)     Low (3)
          2                        alu_fu_utilization      Arithmetic Function Unit Utilization     Low (1)     Low (1)     Low (1)
          2                         cf_fu_utilization    Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          2                        tex_fu_utilization         Texture Function Unit Utilization     Low (1)     Low (1)     Low (1)
          2                             inst_executed                     Instructions Executed    47538602    62461869    55000235
          2                               inst_issued                       Instructions Issued   187159567   246764145   216961856
          2                               issue_slots                               Issue Slots   171383324   225941300   198662312
          2                     nc_l2_read_throughput        L2 Throughput (Non-Coherent Reads)  1.3687MB/s  2.9827MB/s  2.1757MB/s
          2                   nc_l2_read_transactions         L2 Non-Coherent Read Transactions        4058       11772        7915
          1                  nc_cache_global_hit_rate              Non-Coherent Global Hit Rate      75.03%      75.03%      75.03%
          2                         nc_gld_throughput  Non-Coherent Global Memory Load Throughp  538.37KB/s  5.4814MB/s  3.0036MB/s
          2                         nc_gld_efficiency       Non-Coherent Global Load Efficiency       0.00%       0.00%       0.00%
          2                      l2_atomic_throughput           L2 Throughput (Atomic requests)  9.2951MB/s  16.074MB/s  12.684MB/s
          2                                inst_fp_32                   FP Instructions(Single)     2033664     2678784     2356224
          2                                inst_fp_64                   FP Instructions(Double)           0           0           0
          2                              inst_integer                      Integer Instructions   821687546  1082388270   952037908
          2                          inst_bit_convert                  Bit-Convert Instructions    10168320    13393920    11781120
          2                              inst_control                 Control-Flow Instructions   130181473   171485684   150833578
          2                        inst_compute_ld_st                   Load/Store Instructions   130180095   171483166   150831630
          2                                 inst_misc                         Misc Instructions    20376080    26842985    23609532
          2           inst_inter_thread_communication                 Inter-Thread Instructions           0           0           0
          2                    atomic_replay_overhead                    Atomic Replay Overhead    0.000000    0.000042    0.000021
          2                       atomic_transactions                       Atomic Transactions       39774       54944       47359
          2           atomic_transactions_per_request           Atomic Transactions Per Request    1.050001    1.050051    1.050026
          2                   l2_l1_read_transactions   L2 Read Transactions (L1 read requests)   130463145   171852190   151157667
          2                  l2_l1_write_transactions  L2 Write Transactions (L1 write requests      101751      182795      142273
          2                  l2_tex_read_transactions           L2 Transactions (Texture Reads)           0        2616        1308
          2                    l2_l1_write_throughput                 L2 Throughput (L1 Writes)  34.320MB/s  46.316MB/s  40.318MB/s
          2                    l2_atomic_transactions         L2 Transactions (Atomic requests)       73370       95310       84340
          2                          ecc_transactions                          ECC Transactions           0           0           0
          2                            ecc_throughput                            ECC Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          2                           stall_pipe_busy           Issue Stall Reasons (Pipe Busy)       0.41%       0.42%       0.42%
          2          stall_constant_memory_dependency  Issue Stall Reasons (Immediate constant)       0.63%       0.63%       0.63%
          2                        flop_sp_efficiency              FLOP Efficiency(Peak Single)       0.00%       0.00%       0.00%
          2                        flop_dp_efficiency              FLOP Efficiency(Peak Double)       0.00%       0.00%       0.00%
          2                     stall_memory_throttle     Issue Stall Reasons (Memory Throttle)      61.92%      61.94%      61.93%
          2                        stall_not_selected        Issue Stall Reasons (Not Selected)       0.35%       0.35%       0.35%
          2                  eligible_warps_per_cycle           Eligible Warps Per Active Cycle    0.359837    0.361413    0.360625
          2                         atomic_throughput                         Atomic Throughput  53.662MB/s  55.686MB/s  54.674MB/s
==10723== Warning: One or more events or metrics can't be profiled. Rerun with "--print-gpu-trace" for detail.
